brand,brand_short,product,product_short,hex,H,S,V,L,group,shade,red,green,blue
Maybelline,mb,Fit Me,fmf,"(243, 207, 179)",26,0.26,0.95,86,2,Fair Porcelain,243,207,179
Maybelline,mb,Fit Me,fmf,"(255, 227, 194)",32,0.24,1,92,2,Fair Ivory,255,227,194
Maybelline,mb,Fit Me,fmf,"(255, 224, 205)",23,0.2,1,91,2,Porcelain,255,224,205
Maybelline,mb,Fit Me,fmf,"(255, 211, 190)",19,0.25,1,88,2,Natural Ivory,255,211,190
Maybelline,mb,Fit Me,fmf,"(189, 149, 132)",18,0.3,0.74,65,2,Ivory,189,149,132
Maybelline,mb,Fit Me,fmf,"(234, 189, 166)",20,0.29,0.92,80,2,Light Beige,234,189,166
Maybelline,mb,Fit Me,fmf,"(251, 210, 173)",28,0.31,0.98,87,2,Classic Ivory,251,210,173
Maybelline,mb,Fit Me,fmf,"(226, 181, 151)",24,0.33,0.89,77,2,Creamy Beige,226,181,151
Maybelline,mb,Fit Me,fmf,"(228, 179, 142)",26,0.38,0.89,77,2,Soft Sand,228,179,142
Maybelline,mb,Fit Me,fmf,"(178, 133, 111)",20,0.38,0.7,60,2,Nude Beige,178,133,111
Maybelline,mb,Fit Me,fmf,"(232, 186, 140)",30,0.4,0.91,79,2,Warm Nude,232,186,140
Maybelline,mb,Fit Me,fmf,"(243, 181, 132)",26,0.46,0.95,79,2,Buff Beige,243,181,132
Maybelline,mb,Fit Me,fmf,"(240, 185, 150)",23,0.37,0.94,80,2,Natural Beige,240,185,150
Maybelline,mb,Fit Me,fmf,"(227, 176, 130)",28,0.43,0.89,76,2,True Beige,227,176,130
Maybelline,mb,Fit Me,fmf,"(234, 177, 129)",27,0.45,0.92,77,2,Soft Tan,234,177,129
Maybelline,mb,Fit Me,fmf,"(157, 115, 89)",23,0.43,0.62,52,2,Natural Buff,157,115,89
Maybelline,mb,Fit Me,fmf,"(226, 170, 123)",27,0.46,0.89,74,2,Pure Beige,226,170,123
Maybelline,mb,Fit Me,fmf,"(217, 147, 88)",27,0.59,0.85,67,2,Rich Tan,217,147,88
Maybelline,mb,Fit Me,fmf,"(156, 116, 79)",29,0.49,0.61,52,2,Light Honey,156,116,79
Maybelline,mb,Fit Me,fmf,"(177, 139, 101)",30,0.43,0.69,61,2,Classic Beige,177,139,101
Maybelline,mb,Fit Me,fmf,"(132, 88, 63)",22,0.52,0.52,42,2,Sun Beige,132,88,63
Maybelline,mb,Fit Me,fmf,"(125, 86, 49)",29,0.61,0.49,40,2,Golden,125,86,49
Maybelline,mb,Fit Me,fmf,"(192, 119, 70)",24,0.64,0.75,57,2,Natural Tan,192,119,70
Maybelline,mb,Fit Me,fmf,"(100, 60, 39)",21,0.61,0.39,30,2,Warm Honey,100,60,39
Maybelline,mb,Fit Me,fmf,"(237, 207, 185)",25,0.22,0.93,85,2,Toffee,237,207,185
Maybelline,mb,Fit Me,fmf,"(225, 187, 167)",21,0.26,0.88,79,2,Golden Caramel,225,187,167
Maybelline,mb,Fit Me,fmf,"(193, 160, 126)",30,0.35,0.76,68,2,Warm Sun,193,160,126
Maybelline,mb,Fit Me,fmf,"(208, 158, 124)",24,0.4,0.82,69,2,Classic Tan,208,158,124
Maybelline,mb,Fit Me,fmf,"(199, 150, 125)",20,0.37,0.78,66,2,Spicy Brown,199,150,125
Maybelline,mb,Fit Me,fmf,"(192, 149, 120)",24,0.38,0.75,65,2,Cappuccino,192,149,120
Maybelline,mb,Fit Me,fmf,"(157, 111, 72)",28,0.54,0.62,51,2,Coconut,157,111,72
Maybelline,mb,Fit Me,fmf,"(168, 109, 64)",26,0.62,0.66,52,2,Warm Coconut,168,109,64
Maybelline,mb,Fit Me,fmf,"(127, 92, 59)",29,0.54,0.5,42,2,Latte,127,92,59
Maybelline,mb,Fit Me,fmf,"(115, 86, 66)",24,0.43,0.45,39,2,Mocha,115,86,66
Maybelline,mb,Fit Me,fmf,"(107, 80, 65)",21,0.39,0.42,37,2,Truffle,107,80,65
Maybelline,mb,Fit Me,fmf,"(125, 92, 77)",19,0.38,0.49,42,2,Nutmeg,125,92,77
Maybelline,mb,Fit Me,fmf,"(92, 68, 51)",25,0.45,0.36,31,2,Deep Golden,92,68,51
Maybelline,mb,Fit Me,fmf,"(94, 58, 35)",23,0.63,0.37,28,2,Deep Bronze,94,58,35
Maybelline,mb,Fit Me,fmf,"(94, 70, 56)",22,0.4,0.37,32,2,Java,94,70,56
Maybelline,mb,Fit Me,fmf,"(63, 32, 24)",12,0.62,0.25,16,2,Espresso,63,32,24
bareMinerals,bm,barePRO,pro,"(237, 206, 178)",28,0.25,0.93,85,2,Fair,237,206,178
bareMinerals,bm,barePRO,pro,"(240, 203, 161)",32,0.33,0.94,84,2,Dawn,240,203,161
bareMinerals,bm,barePRO,pro,"(235, 201, 156)",34,0.34,0.92,83,2,Champagne,235,201,156
bareMinerals,bm,barePRO,pro,"(230, 188, 148)",29,0.36,0.9,79,2,Aspen,230,188,148
bareMinerals,bm,barePRO,pro,"(220, 183, 154)",26,0.3,0.86,77,2,Sateen,220,183,154
bareMinerals,bm,barePRO,pro,"(234, 200, 163)",31,0.3,0.92,83,2,Cashmere,234,200,163
bareMinerals,bm,barePRO,pro,"(233, 200, 158)",34,0.32,0.91,83,2,Warm Light,233,200,158
bareMinerals,bm,barePRO,pro,"(212, 173, 138)",28,0.35,0.83,74,2,Golden Ivory,212,173,138
bareMinerals,bm,barePRO,pro,"(207, 167, 134)",27,0.35,0.81,72,2,Light Natural,207,167,134
bareMinerals,bm,barePRO,pro,"(216, 176, 140)",28,0.35,0.85,75,2,Cool Beige,216,176,140
bareMinerals,bm,barePRO,pro,"(212, 169, 127)",30,0.4,0.83,72,2,Natural,212,169,127
